time,id,type,x,y,z,roll,pitch,yaw,resource,size,color
370,145,e0,622.455954577,360.903149409,0,0,0,0,0,5,yellow
370,180,e0,328.181946569,87.7217202435,0,0,0,0,0,5,yellow
370,165,e0,638.531446907,359.971575135,0,0,0,0,0,5,yellow
370,211,e0,465.806574808,234.341447422,0,0,0,0,0,5,yellow
370,8,psm,307.385051487,425.916567311,0,0,0,0,0,10,red
370,205,e0,564.586298783,155.495963598,0,0,0,0,0,5,yellow
370,219,e0,128.564630584,57.9627976104,0,0,0,0,0,5,yellow
370,184,e0,288.019733604,268.283394117,0,0,0,0,0,5,yellow
370,92,food,168.298090729,78.261188493,0,0,0,0,0,5,green
370,215,e0,814.286108387,244.898127764,0,0,0,0,0,5,yellow
370,63,food,955.088311066,497.341684078,0,0,0,0,0,5,green
370,49,food,652.885321033,200.948283343,0,0,0,0,0,5,green
370,162,e0,137.307489465,170.184058247,0,0,0,0,0,5,yellow
370,174,e0,285.146260615,150.531052847,0,0,0,0,0,5,yellow
370,188,e0,735.273815979,34.8457933744,0,0,0,0,0,5,yellow
370,190,e0,951.687355005,334.20328891,0,0,0,0,0,5,yellow
370,76,food,934.566643109,333.391868513,0,0,0,0,0,5,green
370,18,psm,590.538330493,366.327762247,0,0,0,0,0,10,red
370,121,e0,891.01792709,463.987132141,0,0,0,0,0,5,yellow
370,132,e0,593.898733947,166.160402412,0,0,0,0,0,5,yellow
370,108,food,31.6110169562,355.491471022,0,0,0,0,0,5,green
370,197,e0,559.218814367,150.13901538,0,0,0,0,0,5,yellow
370,127,e0,277.80784283,358.55198882,0,0,0,0,0,5,yellow
370,170,e0,399.848973114,397.321498327,0,0,0,0,0,5,yellow
370,135,e0,353.330168131,277.978027799,0,0,0,0,0,5,yellow
370,159,e0,713.175348905,205.86947162,0,0,0,0,0,5,yellow
370,85,food,231.812627295,537.937342952,0,0,0,0,0,5,green
370,66,food,276.903697174,329.346868878,0,0,0,0,0,5,green
370,107,food,345.44482758,68.8722805735,0,0,0,0,0,5,green
370,147,e0,707.756347073,332.687911525,0,0,0,0,0,5,yellow
370,158,e0,285.19424402,226.335872845,0,0,0,0,0,5,yellow
370,39,food,258.713727834,392.871390986,0,0,0,0,0,5,green
370,70,food,514.675430524,152.298381633,0,0,0,0,0,5,green
370,34,food,273.561015603,397.219263743,0,0,0,0,0,5,green
370,100,food,822.312821257,380.573472846,0,0,0,0,0,5,green
370,31,food,131.942317268,74.0140497813,0,0,0,0,0,5,green
370,17,psm,564.773911474,216.167876741,0,0,0,0,0,10,red
370,114,food,829.89546768,295.729555936,0,0,0,0,0,5,green
370,46,food,435.208543984,418.278063099,0,0,0,0,0,5,green
370,172,e0,812.788359831,247.556608501,0,0,0,0,0,5,yellow
370,97,food,972.407345624,435.69444683,0,0,0,0,0,5,green
370,126,e0,833.694046278,76.2803838851,0,0,0,0,0,5,yellow
370,55,food,416.266537029,433.270052049,0,0,0,0,0,5,green
370,83,food,284.655575436,66.549009542,0,0,0,0,0,5,green
370,88,food,618.722625563,117.985501238,0,0,0,0,0,5,green
370,203,e0,233.471385177,278.040044012,0,0,0,0,0,5,yellow
370,10,psm,98.6054182979,294.138966454,0,0,0,0,0,10,red
370,143,e0,377.50751196,461.146952801,0,0,0,0,0,5,yellow
370,198,e0,720.576825411,107.021913228,0,0,0,0,0,5,yellow
370,3,psm,322.234562923,404.403552399,0,0,0,0,0,10,red
370,41,food,363.305467509,253.526591687,0,0,0,0,0,5,green
370,150,e0,157.04747508,511.000854691,0,0,0,0,0,5,yellow
370,0,psm,775.665746911,406.312307071,0,0,0,0,0,10,red
370,141,e0,503.516159935,497.687008324,0,0,0,0,0,5,yellow
370,61,food,664.804475601,191.363500454,0,0,0,0,0,5,green
370,103,food,123.649224937,410.349106814,0,0,0,0,0,5,green
370,69,food,281.697578349,220.05085085,0,0,0,0,0,5,green
370,140,e0,684.284726987,243.372689994,0,0,0,0,0,5,yellow
370,146,e0,713.443106919,379.963168846,0,0,0,0,0,5,yellow
370,1,psm,507.02959031,259.729387708,0,0,0,0,0,10,red
370,153,e0,611.37409947,44.3733605244,0,0,0,0,0,5,yellow
370,194,e0,199.989129656,466.988518561,0,0,0,0,0,5,yellow
370,71,food,538.450369598,112.782337829,0,0,0,0,0,5,green
370,168,e0,305.178410577,135.282553674,0,0,0,0,0,5,yellow
370,26,food,168.931836517,125.882737663,0,0,0,0,0,5,green
370,42,food,555.587433155,17.8746339003,0,0,0,0,0,5,green
370,67,food,322.186742054,436.349961055,0,0,0,0,0,5,green
370,38,food,113.912295307,354.726321142,0,0,0,0,0,5,green
370,129,e0,859.42010032,141.233843569,0,0,0,0,0,5,yellow
